feature_group,mean,std
circulatory_resp,0.3421296296296297,0.04123998527126979
demographics,0.05097465886939574,0.11003169667502943
labs,0.04361111111111114,0.03007511863337361
consciousness,0.012763157894736856,0.03611072637529736
temperature,0.005857699805068257,0.03820368509797681
