truncate_n,mean,std
0,0.8880116959064328,0.0891504236693393
1,0.8444444444444444,0.08552069257267624
2,0.8387426900584796,0.12663468922953697
3,0.8997076023391812,0.06881330619189284
5,0.8429824561403508,0.15769358532083308
