fold,n_test,n_pos_test,auc,recall,precision,f1
1,23,4,0.9342105263157896,0.75,0.42857142857142855,0.5454545454545454
2,23,4,1.0,1.0,0.8,0.8888888888888888
3,22,3,0.8947368421052632,0.6666666666666666,0.6666666666666666,0.6666666666666666
4,22,4,0.8472222222222222,0.75,0.42857142857142855,0.5454545454545454
5,22,4,0.763888888888889,0.25,0.3333333333333333,0.2857142857142857
