fold,auc,recall,precision,f1
1,0.75,0.5,0.3333333333333333,0.4
2,1.0,1.0,0.5714285714285714,0.7272727272727273
3,0.6842105263157894,0.3333333333333333,0.16666666666666666,0.2222222222222222
4,0.8888888888888888,0.75,0.75,0.75
5,0.7361111111111112,0.5,0.5,0.5
